subject_id	predicate_id	source_language	source_value	translation_language	translation_value	translator	translator_expertise	translation_status	translation_date	comment
MEDICNE:0091696f-d619-5e5f-9762-1a634e8b83ca	rdfs:label	ru	Красгемодез 8000	en-us	Krasgemodez 8000	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:00a93b07-07f8-51db-8712-564460d3114f	rdfs:label	ru	Глицеритан®	en-us	Glyceritan®	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:00b2a17a-d8f6-5d0d-9794-983e44984438	rdfs:label	ru	Варденафил	en-us	Vardenafil	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:00ba8b30-3dec-557f-ac6d-3e6bc8109d31	rdfs:label	zh	氯氮平口崩片	en-us	Clozapine Orally Disintegrating Tablets	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:00be248f-836f-5ed1-bd66-9be598f542d6	rdfs:label	ru	Солодки корни	en-us	Licorice roots	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:00d8a75e-2ddb-50a0-88d6-6d9fd7d3a7a0	rdfs:label	ru	Камелии китайской листьев экстракт	en-us	Chinese Camellia Leaf Extract	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:00d921ea-85e5-58e6-896f-15ca96b568cf	rdfs:label	ru	Душицы обыкновенной травы экстракт+Моркови дикой семян экстракт+Мяты перечной листьев масло+Пихты сибирской масло+Хмеля обыкновенного соплодий экстракт	en-us	Common Oregano Herb Extract + Wild Carrot Seed Extract + Peppermint Leaf Oil + Siberian Fir Oil + Common Hop Cone Extract	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:00dcc38d-4c6a-5d68-8cfd-9c9a144d1ce8	rdfs:label	ru	Алтея корней экстракт+Солодки корней экстракт+Натрия гидрокарбонат	en-us	Marshmallow Root Extract + Licorice Root Extract + Sodium Bicarbonate	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:00e0a61e-50b8-5c32-8ef4-49607f5e7231	rdfs:label	ru	Белладонны листьев экстракт+Бензокаин	en-us	Belladonna Leaf Extract + Benzocaine	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:00efcac8-6f48-54ad-a6a0-dca7939f5b2b	rdfs:label	ru	Симвастатин+Эзетимиб	en-us	Simvastatin + Ezetimibe	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:01049f7f-83f1-5d0e-8f83-9a235b932546	rdfs:label	ru	Кодеин+Парацетамол	en-us	Codeine + Paracetamol	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:010a81b7-f3c5-54a9-9c89-314b97f47173	rdfs:label	ru	Мидазолам	en-us	Midazolam	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:01275bbf-32ed-567d-8bd6-b71945d819a5	rdfs:label	ru	Монокомпонентные препараты растительного происхождения (согласно приложению - 106 наименований)	en-us	Single-ingredient plant-based preparations (106 items, as listed in the appendix)	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:01398459-722b-50c8-8bb1-05fc2d156464	rdfs:label	ru	Рабепразол	en-us	Rabeprazole	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:01431a29-e158-5e7d-838f-0c73c1efddcb	rdfs:label	ru	Ременс®	en-us	Remens®	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:015028d1-629d-5277-bffa-dc9b77530f74	rdfs:label	ru	Доктор Тайсс алергол морская вода	en-us	Dr. Theiss Allergol Sea Water	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:017441a9-80f9-5519-a2f0-0aaea42c3778	rdfs:label	ru	Дигоксин	en-us	Digoxin	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:018995a3-5425-5840-ba4d-555a876b876b	rdfs:label	ru	Фосфо-сода	en-us	Phosphate-Soda	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:0189bcbb-a041-5b42-8bd0-d292f84178c8	rdfs:label	zh	盐酸舍曲林片	en-us	Sertraline Hydrochloride Tablets	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:018ea7f7-4941-5c45-8445-cd2d9ce81630	rdfs:label	ru	Йобенгуан [123I]	en-us	[123I] Yobenguan	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:018fc1fb-c37f-5393-b465-97b7c09bf166	rdfs:label	zh	利托那韦片	en-us	Ritonavir Tablets	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:01a5561c-70bf-5234-a5b1-2eb316bf88a7	rdfs:label	ru	Коделак® фито	en-us	Codelac® Phyto	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:01beb55c-aa75-5b94-90e3-671157c3667a	rdfs:label	zh	瑞巴派特胶囊	en-us	Ribapate Capsules	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:01c2f877-8285-5805-a84b-bdcb0d26c795	rdfs:label	ru	Подорожника большого листьев сумма полисахаридов	en-us	Total Polysaccharide Content in the Leaves of Greater Plantain	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:01c3b485-a0e7-508d-a1da-9ac775762d53	rdfs:label	ru	Вакцина для профилактики птичьего гриппа [живая]	en-us	Vaccine for the prevention of avian influenza [live]	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:01c516e1-69b2-52de-a8bb-6d6309b93209	rdfs:label	ru	Миноксидил	en-us	Minoxidil	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:01ca136b-5206-5ebe-a55c-4b5dc4964de2	rdfs:label	ru	Циклодинон®	en-us	Cyclodynon®	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:01cadf19-5ef3-565b-b9b1-b90516b39078	rdfs:label	ru	Антитоксин дифтерийный	en-us	Diphtheria Antitoxin	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:01cb2c0c-67f7-57ae-b467-ee80ca2a5f24	rdfs:label	ru	Уро-Ваксом®	en-us	Uro-Vaxom®	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:01cd0286-d791-5ba6-95b2-624e38a3e7bd	rdfs:label	ru	Калия аспарагинат+Магния аспарагинат	en-us	Potassium aspartate + Magnesium aspartate	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:01d316e4-4097-50ed-bf48-0e7cb28c4827	rdfs:label	ru	Витрум® Кардио омега-3	en-us	Vitruum® Cardio Omega-3	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:0207c85e-22cb-5823-8ff2-d2a942a00387	rdfs:label	ru	Пиперациллин+[Тазобактам]	en-us	Piperacillin+[Tazobactam]	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:02081741-2471-5846-af37-6cad0b8ba0ca	rdfs:label	ru	Эректин®	en-us	Erectin®	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:020f2481-c615-5150-918b-d60c88fb2a6a	rdfs:label	ru	Аллергены эпидермальные	en-us	Epidermal allergens	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:0213753f-874e-561a-96b9-6d9bf7e3e7a7	rdfs:label	ru	Душицы обыкновенной травы экстракт+Клещевины обыкновенной семян масло+Моркови дикой семян экстракт+Мяты перечной листьев масло+Пихты сибирской хвои масло+Хмеля обыкновенного соплодий экстракт	en-us	Common Oregano Herb Extract + Castor Bean Seed Oil + Wild Carrot Seed Extract + Peppermint Leaf Oil + Siberian Fir Needle Oil + Common Hop Cone Extract	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:0216b943-223f-5241-8f8d-df411e28c548	rdfs:label	ru	Атозибан	en-us	At once	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:023b0909-3e0e-599e-a561-5b90ac14609f	rdfs:label	ru	Невирапин	en-us	Nevirapine	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:02405a2c-b805-5aac-b7c5-918956a96caa	rdfs:label	ru	Лауромакрогол-400	en-us	Lauromacrogol-400	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:02529cdb-c046-5643-86eb-45a7283c86df	rdfs:label	ru	Анатоксин дифтерийно-столбнячный очищенный адсорбированный с уменьшенным содержанием антигенов жидкий (АДС-М-анатоксин)	en-us	Purified, adsorbed, liquid diphtheria-tetanus toxoid with reduced antigen content (ADS-M toxoid)	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:025f9a4b-3566-5012-bf2b-62680ce695c8	rdfs:label	ru	Окулохель	en-us	Oculochel	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:026363c4-5d48-513d-bea3-d28a24fb1329	rdfs:label	ru	Локсопрофен	en-us	Loxoprofen	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:02762fae-6859-578e-8650-b38dd8e7cbf9	rdfs:label	ru	Мяты перечной листьев масло+Месульфамид+Сульфатиазол+Тимол+Эвкалипта прутовидного листьев масло	en-us	Peppermint Leaf Oil + Mesulfamide + Sulfathiazole + Thymol + Eucalyptus Globulus Leaf Oil	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:027c8521-a2a9-54cf-a878-3f5346dc2c32	rdfs:label	ru	Красавки листьев экстракт+Висмута трибромфенолят и Висмута оксида комплекс+Цинка сульфат	en-us	Belladonna leaf extract + bismuth tribromophenolate and bismuth oxide complex + zinc sulfate	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:0293189f-924a-53d6-a86c-f457b603ff66	rdfs:label	ru	Сульфасалазин	en-us	Sulfasalazine	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:02989477-5b31-53dc-ba1d-f84ac2babd29	rdfs:label	ru	Ринза®	en-us	Rinza®	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:029e8566-6526-5feb-80d2-62dd5ffa5e30	rdfs:label	ru	Эрдафитиниб	en-us	erdafitinib	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:029ee9c8-ed79-51ff-9c8b-eb3a282bf78b	rdfs:label	zh	碳酸镧颗粒	en-us	Lanthanum Carbonate Granules	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:02a4b756-93f1-5885-a9d4-1b9e06e76ba3	rdfs:label	ru	Джунгли с минералами	en-us	A Jungle Full of Minerals	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:02a5603f-c6e6-5dd6-a190-00099217e811	rdfs:label	ru	Гематоген С Вита	en-us	Hematogen with Vitamins	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:02b788c1-49ff-5d07-94b0-d7ead051ccc7	rdfs:label	ru	Вакцина чумная	en-us	Plague vaccine	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:02bc2a5d-4423-5a7b-8f1a-507352d0d835	rdfs:label	zh	门冬氨酸钾镁片	en-us	Potassium Magnesium Aspartate Tablets	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:02ce3467-33ac-5777-a5a4-0624c3408ae1	rdfs:label	ru	Кальция глюконат	en-us	Calcium gluconate	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:02d0ae59-6ebc-53da-b8a3-a28ae966e839	rdfs:label	ru	Цитраль, раствор спиртовой 1%, субстанция	en-us	Citral, 1% alcohol solution, substance	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:02d76c98-fbe4-5acc-a437-ae2a47e56fd8	rdfs:label	ru	Микст-аллерген из пыльцы сорных трав и подсолнечника для диагностики и лечения	en-us	A mixed allergen preparation made from weed pollen and sunflower pollen for diagnosis and treatment	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:02e09c9a-eb2b-5152-b89d-9819899ed9fa	rdfs:label	ru	Проксодолол®	en-us	Proxodolol®	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:02e1d3fd-7839-5492-bd48-d845c174294f	rdfs:label	ru	Синуфорте	en-us	Sinuforte	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:02e98d0e-29c2-5a40-869a-475b38013b24	rdfs:label	zh	红霉素肠溶片	en-us	Erythromycin Enteric-Coated Tablets	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:02ea36c4-56c8-52d1-b7a6-541f096f9c4a	rdfs:label	ru	Мометазон+Формотерол	en-us	Mometasone + Formoterol	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:02ee7a40-8e92-5095-b8d8-7d81b6da7e9f	rdfs:label	ru	Фитангин Эдас-905	en-us	Fitaning Edas-905	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:02f0091c-9a06-5ade-abdf-51deaaf4eeb3	rdfs:label	ru	Хлорамфеникол [D,L]	en-us	Chloramphenicol [D,L]	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-08-13	DeepL
MEDICNE:0302b5f7-a85a-5790-812b-d6fbe5a79ca7	rdfs:label	ru	Изониазид+Рифампицин	en-us	Isoniazid + Rifampicin	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:0311a4d5-76a5-513a-bce4-9a418cf2d0b8	rdfs:label	zh	硝酸甘油注射液	en-us	Nitroglycerin Injection	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:031594ae-2be5-5dc4-8363-420c0214e4da	rdfs:label	ru	Амлодипин+Лозартан	en-us	Amlodipine + Losartan	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:0316ca5a-3118-56aa-a5ed-df3019789659	rdfs:label	ru	Агалсидаза альфа	en-us	Agalsidase alfa	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:031ae461-120b-5bfc-b01c-e678dfffdcb6	rdfs:label	zh	注射用头孢呋辛钠/氯化钠注射液	en-us	Cefuroxime Sodium and Sodium Chloride Injection	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:031fa95c-52c8-5128-88ef-79459eb5725d	rdfs:label	ru	Пижмы цветки	en-us	Tansy flowers	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:0324db25-0e91-5ed0-8ddb-5e01ca01ff85	rdfs:label	ru	Пентанов®-Н	en-us	Pentanov®-N	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:034ea5e7-2efe-54fb-a533-cefed1ac4dde	rdfs:label	ru	Кодеин	en-us	Codeine	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:034fa3f7-8fa2-51b5-9826-423ba4f24d3f	rdfs:label	ru	Вакцина для профилактики вирусного гепатита B, дифтерии, коклюша, полиомиелита, столбняка и инфекций, вызываемых Haemophilus influenzae типа b	en-us	A vaccine for the prevention of viral hepatitis B, diphtheria, pertussis, polio, tetanus, and infections caused by Haemophilus influenzae type b	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:0363d85a-e83d-5f39-bc79-d077d2d8e890	rdfs:label	ru	Рябины плоды+Шиповника плоды	en-us	Rowan Berries + Rosehip Berries	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:03671723-1de3-56cf-9a78-587d7b4b8725	rdfs:label	ru	Теразозин	en-us	Terazosin	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:036df31d-78d5-5221-af6b-540b943b010e	rdfs:label	ru	Тетраксим (Вакцина для профилактики дифтерии и столбняка адсорбированная, коклюша ацеллюлярная, полиомиелита инактивированная)	en-us	Tetraxim (Adsorbed vaccine for the prevention of diphtheria and tetanus, acellular pertussis, and inactivated polio)	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:036e341f-2ead-51a0-a2a4-e030324465f5	rdfs:label	ru	Мукофальк	en-us	Mucofalk	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:0373a2fb-d887-51a0-baab-41ba7f9069bb	rdfs:label	zh	注射用醋酸卡泊芬净	en-us	Capreomycin Acetate for Injection	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:0373e54e-af7d-5ab5-a144-8359179140dc	rdfs:label	ru	Про-Симбиофлор	en-us	Pro-Symbioflor	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:03757a7d-6391-5104-beef-ca2f2510823f	rdfs:label	ru	Эноксапарин натрия	en-us	Enoxaparin Sodium	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:0390ce1d-2611-52eb-b428-b51e240924d9	rdfs:label	ru	Аминокислоты для парентерального питания+Прочие препараты [Ксилитол+Минералы]	en-us	Amino Acids for Parenteral Nutrition + Other Preparations [Xylitol + Minerals]	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-08-13	DeepL
MEDICNE:03bec58c-35e4-5a87-adb5-fd12b3d9a9dc	rdfs:label	ru	Йодокомб® 75/150	en-us	Iodokomb® 75/150	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:03c97ac8-9d02-51c5-8cd7-34a4d5b7cc83	rdfs:label	ru	Технеция (99mТс) этидронат	en-us	Technetium (99mTc) etidronate	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:03da58c5-956e-5da3-af45-91b47c688bb2	rdfs:label	ru	Энтректиниб	en-us	Entrectinib	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:03dc58ee-76a3-53b2-a126-53c91923c296	rdfs:label	ru	Карбахол	en-us	Carbachol	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:03e48622-283f-563c-b808-0d56b3790e03	rdfs:label	ru	Камфора+Перца стручкового плодов настойка	en-us	Camphor and Capsicum Fructus Tincture	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:03ebdb68-fa63-541a-adf2-1bb1414db647	rdfs:label	zh	维生素B6片	en-us	Vitamin B6 Tablets	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:03f0f0e6-ce94-5f84-90dc-39502784ce36	rdfs:label	ru	Офломелид	en-us	Ofloxacin	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:0404cb50-4930-5ec3-a2d9-357718a3babc	rdfs:label	zh	依达拉奉注射液	en-us	Edalafon Injection	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:0405d62d-f33b-5639-9615-1430075ea273	rdfs:label	ru	Венофлебин®	en-us	Venoflebin®	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:04107f4c-a587-5304-bdb3-a59b5e03c699	rdfs:label	ru	Иммуноглобулин человека антистафилококковый жидкий	en-us	Liquid Human Antistaphylococcal Immunoglobulin	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:041bc379-74fa-5e29-a5ea-a47046774a05	rdfs:label	ru	Райлис®	en-us	Railis®	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:04374fa0-2c90-5304-a64d-647f47155409	rdfs:label	ru	Вобэнзим	en-us	Wobenzym	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:0443e9bf-62bd-524d-90da-4e0ddb401333	rdfs:label	ru	Фарматон® Витал	en-us	Pharmaton® Vital	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:04441b5d-7fd7-5c0a-be33-b13e00162148	rdfs:label	ru	Пихты масло	en-us	Fir Oil	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:04447cc7-5a28-58fe-a8af-84722d960d93	rdfs:label	zh	注射用赖氨匹林	en-us	Lysine Aspirin for Injection	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:04471a2a-d3da-5ab5-b809-eed73db929c7	rdfs:label	ru	Релиф Ультра	en-us	Relief Ultra	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:0459dd9e-160c-5042-8f9d-3501bc3fb4fa	rdfs:label	ru	Антиген инактивированного коронавируса SARS-CoV-2	en-us	SARS-CoV-2 Inactivated Coronavirus Antigen	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:045d98b5-ae46-5f0b-a114-8874f5cdecea	rdfs:label	ru	Биоактивный экстракт из мелкой морской рыбы	en-us	Bioactive extract from small marine fish	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:046b84bc-a63a-52ba-8668-21229b337c4c	rdfs:label	zh	阿司匹林维生素C泡腾片	en-us	Aspirin and Vitamin C Effervescent Tablets	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:0473eac3-dfed-5dca-8102-60848e572371	rdfs:label	ru	Иммунал® плюс С	en-us	Immunal® Plus C	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:0486210f-0d0a-5bac-b33a-c7a56912cb3c	rdfs:label	ru	Кофеин+Парацетамол+Фенилэфрин+Хлорфенамин и Парацетамол+Фенилэфрин+Хлорфенамин [набор]	en-us	Caffeine + Paracetamol + Phenylephrine + Chlorphenamine and Paracetamol + Phenylephrine + Chlorphenamine [set]	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:0486a2b3-dd08-5a15-8cf0-568bcb891ac6	rdfs:label	ru	Гликозаминогликаны сульфатированные	en-us	Sulfated glycosaminoglycans	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:048851b0-af97-50d5-9213-2b1538b11a85	rdfs:label	ru	Дорзоламид	en-us	Dorzolamide	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:04935642-ac49-5aa6-b571-121c8fa7069e	rdfs:label	ru	Белладонны алкалоиды	en-us	Belladonna alkaloids	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:049ab211-b6bd-5664-87e6-e92a35a67010	rdfs:label	zh	盐酸溴己新片	en-us	Bromhexine Hydrochloride Tablets	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:04aabe28-0256-563b-a3f6-cddd03b51e82	rdfs:label	zh	盐酸普拉克索片	en-us	Pramipexole Hydrochloride Tablets	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
MEDICNE:04abdd40-5784-5870-bc81-0af47739b2d1	rdfs:label	ru	Будесонид	en-us	Budesonide	wikidata:Q116709136	ALGORITHM	CANDIDATE	2026-07-26	DeepL
